Subject,Topic,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption
History,PYQ mix,बदायूँनी के अनुसार अकबर ने जजिया किस वर्ष समाप्त किया था-,1579,1580,1564,1575,1579
History,PYQ mix,नीचे दिए विकल्पों में से सही उत्तर का चयन कीजिए :,"(A)-(II), (Bi)-(IV), (C)-(I), (D)-(III)","(A)-(IV), (B)-(III), (C)-(II), (D)-(I)","(A)-(II), (B)-(I), (C)-(IV), (D)-(II)","(A)-(III), (B)-(II), (C)-(III), (D)-(IV)","(A)-(IV), (B)-(III), (C)-(II), (D)-(I)"
History,PYQ mix,किसको जहाँगीर ने 'नादिर-उल-असर' की उपाधि दी-,अबुज फजल,अब्दुल समद,आकारिजा,उस्ताद मंसूर,उस्ताद मंसूर
History,PYQ mix,बाग-ए-निलोफर' का निर्माण किस मुगल शासक ने करवाया-,शाहजहाँ,जहाँगीर,अकबर,बाबर,बाबर
History,PYQ mix,मुगल बादशाह जिसने पहली बार उर्दू को प्रोत्साहित किया-,शाहजहाँ,मुहम्मद शाह,औरंगजेब,बहादुर शाह,मुहम्मद शाह
History,PYQ mix,नीचे दिए गए विकल्पों में से सही उत्तर का चयन कीजिए-,"(A)-(iii), (B)-(i), (C)-(iv), (D)-(ii)","(A)-(ii), (B)-(iv), (C)-(iii), (D)-(i)","(A)-(iv), (B)-(ii), (C)-(i), (D)-(iii)","(A)-(i), (B)-(iii), (C)-(ii), (D)-(iv)","(A)-(iii), (B)-(i), (C)-(iv), (D)-(ii)"
History,PYQ mix,निम्नलिखित में से कौन एक चित्रकार था-,अकबर,जहाँगीर,हुमायूँ,शाहजहाँ,जहाँगीर
History,PYQ mix,अकबरकालीन निम्नांकित घटनाओं में कौन-सा युग्म सही सुमेलित नहीं है-,मेड़ता को हस्तगत करना - 1562,असीरगढ़ का घेरा - 1601,गोड़वाना की विजय - 1564,उड़ीसा की विजय - 1582,उड़ीसा की विजय - 1582
History,PYQ mix,निम्न में से किस मुगल पाण्डुलिपि को अकबर ने सर्वप्रथम चित्रित करने का आदेश दिया था-,हम्जानामा,तारीख-ए खानदान ए तैमूरिया,बाबरनामा,रज्मनामा,हम्जानामा
History,PYQ mix,सियाही कलम या नीम कलम तकनीक निम्नलिखित में से किस क्षेत्र से चित्रकारों द्वारा भारत में लाई गई-,अरेबिया,ईरान,ट्रांसऑक्सियाना,तुर्की,ट्रांसऑक्सियाना
History,PYQ mix,शाहजादा सलीम के रूप में जहांगीर ने किस स्थान पर अपनी स्वतंत्र चित्रकला की कार्यशाला स्थापित की थी-,इलाहाबाद,अवध,ग्वालियर,मांडू,इलाहाबाद
History,PYQ mix,वह कौनसा हिन्दू चित्रकार था जो जहांगीर द्वारा ईरान के शाह अब्बास प्रथम का छायाचित्र बनाने के लिए भेजा गया था-,बसावन,दसरथ,बिशनदास,मनोहर,बिशनदास
History,PYQ mix,जागीर क्या है-,कोई जो चोरी करता है।,सामंत का दूसरा नाम,भूमि का टुकड़ा,संगीत वाद्ययंत्र,भूमि का टुकड़ा
History,PYQ mix,निम्नलिखित में से किस शासक के अधीन 'तूतीनामा' को चित्रित किया गया था-,अकबर,शाहजहाँ,जहाँगीर,हुमायूँ,अकबर
History,PYQ mix,नीचे दिए गए विकल्पों में से सही उत्तर का चयन कीजिए:,"(A)-(iii), (B)-(ii), (C)-(iv), (D)-(i)","(A)-(ii), (B)-(iv), (C)-(i), (D)-(iii)","(A)-(i), (B)-(ii), (C)-(iii), (D)-(vi)","(A)-(iv), (B)-(i), (C)-(ii), (D)-(iii)","(A)-(ii), (B)-(iv), (C)-(i), (D)-(iii)"
History,PYQ mix,निम्नलिखित ईरानी चित्रकारों में से पिता-पुत्र का कौन-सा जोड़ा हुमायूं के दरबार में था-,मीर मुसव्विर और सैय्यद अली,दस्त मुहम्मद और सैय्ययद अली,अब्दुस समद और सैय्यद अली,मीर मुसव्विर और अब्दुस सैय्ययद,मीर मुसव्विर और सैय्यद अली
History,PYQ mix,निम्नलिखित अधिकारियों में से कौन मुगल कालीन भारत में शहरों के प्रशासन से संबद्ध नहीं था-,नाज़िम,कोतवाल,काजी,मीर-ए-अदुल,नाज़िम
History,PYQ mix,हबीब-अल-सियार' किसने लिखी-,मिर्जा हैदर दुगलत,जुतुद्दीन ख्वाजा,ख्वांद मीर,हुसैन मिर्जा,ख्वांद मीर
History,PYQ mix,निम्नलिखित में से कौन सा चित्रकार अकबर के दरबार से संबद्ध नहीं था-,बिसनदास,सैय्यद अली,बसावन,मुकुन्द,बिसनदास
History,PYQ mix,मुगल प्रशासन में मीर बहरी (मीर ए बहर) किसे कहते हैं-,राजस्व विभाग के प्रमुख को,शाही जहाजों के प्रभारी को,शाही परिवार के प्रमुख को,शाही परिवार के समारोहों के प्रभारी को,शाही जहाजों के प्रभारी को
History,PYQ mix,निम्नलिखित में से किस स्थान पर अकबर का मकबरा स्थित है-,आगरा,सिकन्दरा,फतेहपुर सीकरी,दिल्ली,सिकन्दरा
History,PYQ mix,निम्नलिखित राजपूतों में से किसने सबसे पहले स्वेच्छा से अकबर की अधीनता स्वीकार की-,हदस,सिसोदिया,राठौर,कच्छवाह,कच्छवाह
History,PYQ mix,हुमायूं के दरबार में नियुक्त होने से पहले मीर सैयद अली ने अपना कौन सा चित्र बनाया था-,अ यंग प्रिन्स राइडिंग,काउ एंड काफ,स्कूल सीन,अ मेनुस्क्रिप्ट अटेलियर,स्कूल सीन
History,PYQ mix,मुगलकालीन भारत की शहरी आबादी 1601 के लगभग थी-,12 प्रतिशत,13 प्रतिशत,14 प्रतिशत,15 प्रतिशत,15 प्रतिशत
History,PYQ mix,निम्नलिखित में से कौन-सा शासक दो बार गद्दी पर बैठा था-,जहाँगीर,हुमायूँ,अकबर,शाहजहाँ,हुमायूँ
History,PYQ mix,मुगल काल में सुखेत मंडी प्रसिद्ध थी-,नील उत्पादन केन्द्र के रूप में,ताँबे की खानों के कारण,तलवार निर्माण केन्द्र होने के कारण,इरी सिल्क के कारण,ताँबे की खानों के कारण
History,PYQ mix,"1570 ई; की कृति 'नुजूम-उल-उल्म' की प्रसिद्धि का कारण उसका चित्र संग्रह है, जो मुख्यतः किस शैली के हैं-",राजस्थानी,दक्कनी,मुगल,पहाड़ी,दक्कनी
History,PYQ mix,मध्यकालीन भारत में पाई काश्त किन्हें कहा जाता था-,उत्तरी भारत में कृषि भूमि के मालिक को,उत्तरी भारत में भूमिहीन किसान को,उत्तरी भारत में सामन्तों को,दक्षिणी भारत के भूमिहीन किसान को,उत्तरी भारत में भूमिहीन किसान को
History,PYQ mix,कुमाऊँ का कौन सा शासक शाहजहाँ के दरबार में उपस्थित हुआ?,रूद्र चंद्र,ज्ञान चंद,बाजबहादुर चंद,कीर्तिचंद,बाजबहादुर चंद
History,PYQ mix,मुगलकाल में भारत से निर्यात का अधिकतम भाग किस वस्तु का था-,सूती वस्त्र,सोना,शक्कर,ताम्बा,सूती वस्त्र
History,PYQ mix,निम्नांकित चित्रकारों में से जहाँगीर ने किसे नादिर-उज़-ज़मा की उपाधि प्रदान की थी-,अबुल हसन,बिशनदास,मंसूर,मनोहर,अबुल हसन
History,PYQ mix,निम्नलिखित में से कौन-से चित्रकार बंधु अकबर के दरबार में थे-,असि-मिस्किन,नंद-रामदास,मुखलिस-अली,नन्हा-बिशनदास,असि-मिस्किन
History,PYQ mix,मुगलकालीन संस्कृत ग्रन्थ 'जानकी परिणय' का लेखक था-,जगन्नाथ कवि,धनंजय वर्मा,चक्र कवि,नाभादास,चक्र कवि
History,PYQ mix,निम्न में से कौन-सा युग्म सुमेलित नहीं है-,जहाँगीर - विलियम हॉकिन्स,अकबर - टॉमस रो,शाहजहाँ - ट्रेवरनियर,औरंगजेब - मनूची,अकबर - टॉमस रो
History,PYQ mix,"उस चित्रकार का नाम बताइए जिसने शाहजहाँ के शासनकाल के दौरान 'सूफी गायकों' की प्रसिद्ध पेंटिंग बनाई थी, जिसमें आदमियों को आम रास्तों के किनारे दर्शाया गया है। इसे मुगल काल की एक उत्कृष्ट कृति माना जाता है-",विचित्र,मंसूर,दसवंत,अब्दुस समद,विचित्र
History,PYQ mix,"मुगलकाल में चिंकारा की पारदर्शी खाल के टुकड़े पर अनुरेखण करके रेखाचित्र बनाया जाता था, इसे क्या कहा जाता था-",चरबा,किता,कलम,खत,चरबा
History,PYQ mix,दीवान-ए-वज़ीरात-ए-कुल नाम के नये पद का गठन किया था-,शाहजहाँ ने,औरंगजेब ने,अकबर ने,जहाँगीर ने,अकबर ने
History,PYQ mix,"बाबर ने भारत में नई सैन्य युक्तियों को शुरू किया। इनमें छकड़ों/गाड़ियों को लोहे की चेनों से बांध कर रखना, उन्हें खाइयों से सुरक्षित करना और बगली दस्ते (तुलगुमा) मुहैया कराने जैसी युक्तियाँ शामिल थीं-",ऑटोमन तथा सफाविदों से,ऑटोमन और उजबेकों से,चीन और मध्य एशिया से,उजबेकों और सफाविदों से,ऑटोमन और उजबेकों से
History,PYQ mix,निम्नलिखित में से मुगल चित्रकारों के बारे में कौन सा कथन सत्य नहीं है-,मुगल पेंटिंगों ने छायांकन पर परिप्रेक्ष्य जैसी कुछ पश्चिमी तकनीकों को अवशोषित किया।,मुग़ल स्कूल ऑफ पेंटिंग बाबर के शासन में आरम्भ हुई।,मुगल चित्रकारी अपने विषय में धर्मनिरपेक्ष है।,यह पेंटिंग की स्वदेशी भारतीय शैली और फारसी पेंटिंग के सफविद स्कूल का एक संश्लेषण था।,मुग़ल स्कूल ऑफ पेंटिंग बाबर के शासन में आरम्भ हुई।
History,PYQ mix,अलतमगा जागीर देने का चलन आरम्भ किया था-,जहाँगीर ने,अकबर ने,शाहजहाँ ने,औरंगजेब ने,जहाँगीर ने
History,PYQ mix,"जहाँगीर ने उसे प्रतिकृति चित्रकला में बेजोड़ पाया, वह कलाकार था-",बिशनदास,बसावन,अब्दल समद,अबुल हसन,अबुल हसन
History,PYQ mix,कर निर्धारण और एकत्र करने की नजर पाहणी व्यवस्था किसने प्रारम्भ कराया था-,सादत खां,टोडरमल,मलिक अम्बर,मेहमूद गवाँ,मलिक अम्बर
History,PYQ mix,नूरजहाँ मूलतः निवासी थी-,इराक्,सीरिया,ईरान,तुर्किस्तान,ईरान
History,PYQ mix,निम्न में से कौन जहाँगीर के समय का चित्रकार नहीं है-,मंसूर,ख्वाजा अब्दुस समद,अबुल हसन,मनोहर,ख्वाजा अब्दुस समद
History,PYQ mix,दूर से देखने पर शहर अत्यंत आकर्षक दिखाई पड़ते हैं किन्तु अन्दर से उन सबकी भव्यता गलियों के संकरेपन एवं भीड़ की आपा-धापी में खो जाती है...' मुगलकालीन भारत के शहरों के संदर्भ में उपरोक्त कथन किसने दिया था-,फादर मोन्सरेट,सर थॉमस रो,पीटर मुंडी,टेवर्नियर,फादर मोन्सरेट
History,PYQ mix,निम्न में से किस इमारत में पीट्रा ड्यूरा का प्रथम बार प्रयोग किया गया-,बुलन्द दरवाया,हुमायूँ का मकबरा,एतमतुद्दौला का मकबरा,पंच महल,एतमतुद्दौला का मकबरा
History,PYQ mix,एक प्रत्यक्षदर्शी ने भारत की किस इमारत से उत्प्रेरित होकर कहा था कि 'उसे जन्नत से धरती पर उतारा गया है'?,दिल्ली के लाल किले का भवन,ताजमहल,हीरा महल,दिल्ली की जामा मस्जिद,दिल्ली के लाल किले का भवन
History,PYQ mix,किसने चित्रकार मीर सैय्यद अली और दसवन्त को संरक्षण दिया-,अकबर,जहाँगीर,शाहजहाँ,नूरजहाँ,अकबर
History,PYQ mix,1895 में स्थापित 'वेलबी आयोग' का उद्देश्य क्या था-,केन्द्र और प्रान्तीय सरकार के अधिकार क्षेत्र को परिभाषित करना।,भारत की आय और व्यय की जांच करना।,भारत सरकार और भारतीय रियासतों के बीच संबंध सुधारना।,भारत के लिए राज्य सचिव की शक्तियों को परिभाषित करना।,भारत की आय और व्यय की जांच करना।
History,PYQ mix,चलो जहाजी' का तात्पर्य क्या है-,सुभाष चन्द्र बोस का भारतीय नेवी के विद्रोहियों को किया आहवान।,गांधीजी द्वारा दक्षिणी अफीका के अप्रवासी भारतीयों को दिया गया आहवान।,एक पुस्तक का शीर्षक जिसकी विषयवस्तु करारबन्द मजदूरों का अप्रवासन है।,श्रमिक संघ का गोदी मजदूरों को किया गया आहवान।,एक पुस्तक का शीर्षक जिसकी विषयवस्तु करारबन्द मजदूरों का अप्रवासन है।
History,PYQ mix,किस ब्रिटिश अधिकारी ने बंगाल में जमींदारों के स्वामित्व संबंधी अधिकारों का विरोध किया-,कार्नवालिस,जेम्स ग्रांट,जॉन शोर,फिलिप फ्रांसिस,जेम्स ग्रांट
History,PYQ mix,भारत में धन के निष्कासन को 'अनिष्टों का अनिष्ट' की संज्ञा किसने दी-,महादेव गोविन्द रानाडे,दादाभाई नौरोजी,मौरिस डी. मौरिस,आर. पी दत्त,दादाभाई नौरोजी
History,PYQ mix,पॉवर्टी एंड अन ब्रिटिश रूल इन इंडिया किसके द्वारा लिखी गई है-,गोपाल कृष्ण गोखले,दिनश बाचा,दादाभाई नौरोजी,उपर्युक्त में से एक से अधिक,दादाभाई नौरोजी
History,PYQ mix,सबसे अधिक बोली लगाने वाले को भूमि-राजस्व वसूल करने का अधिकार देने की व्यवस्था का प्रारम्भ सर्वप्रथम किसने किया-,क्लाइव,वारेन हेस्टिंग्स,लॉर्ड वेलेजली,लॉर्ड कार्नवालिस,क्लाइव
History,PYQ mix,निम्नांकित में से सही विकल्प चुनें-,विभिन्न भूमि और राजस्व नीतियों के कारण भारतीय किसान अमीर हो गए।,ब्रिटिश भूमि और राजस्व नीतियों ने भारतीय किसानों को कर्जदार बना दिया,न्याय तंत्र ने अत्याचारियों के विरुद्ध खड़े होने में गरीबों की मदद की।,पारंपरिक जमींदारों और प्रमुखों से अंग्रेजों ने अच्छा व्यवहार किया।,ब्रिटिश भूमि और राजस्व नीतियों ने भारतीय किसानों को कर्जदार बना दिया
History,PYQ mix,उच्चतम बोली लगाने वाले को राजस्व एकत्र करने के अधिकार की नीलामी का वॉरेन हेस्टिंग्स प्रयोग लगभग के समान है-,विजयनगर साम्राज्य की पोलीगर प्रणाली,दिल्ली के सुल्तानों की इक्ता प्रणाली,मुगलों की जागी व्यवस्था,मुगलों की इजारा प्रणाली,मुगलों की इजारा प्रणाली
History,PYQ mix,निम्नलिखित में से कौन-सा युग्म गलत है-,स्थायी बंदोबस्त - बंगाल,रैयतवाड़ी - दक्कन,महलवाड़ी व्यवस्था - अवध,उपर्युक्त में से एक से अधिक,उपर्युक्त में से कोई नहीं
History,PYQ mix,"चिरस्थायी बंदोबस्त, 1793 के अंतर्गत जमींदारों से अपेक्षा की जाती थी कि वे खेतीहरों को पट्टा जारी करेंगे। अनेक जमींदारों ने पट्टा जारी नहीं किया। इसका कारण था-",जमींदारों के ऊपर किसानों का विश्वास था।,जमींदारों के ऊपर कोई सरकारी नियंत्रण नहीं था।,खेतीहरों की दिलचस्पी पट्टा प्राप्त करने में नहीं थी।,यह ब्रिटिश सरकार की जिम्मेदारी थी,खेतीहरों की दिलचस्पी पट्टा प्राप्त करने में नहीं थी।
History,PYQ mix,1855 का सहारनपुर कानून किससे संबंधित था-,न्याय,राजस्व,प्रेस,सेना,राजस्व
History,PYQ mix,बंगाल में स्थायी बंदोबस्त की शुरुआत किसने की थी-,लार्ड चार्ल्स कॉर्नवॉलिस,लार्ड रिचर्ड वेलेजली,वॉरेन हेस्टिंग्स,सर जॉन शोर,लार्ड चार्ल्स कॉर्नवॉलिस
History,PYQ mix,"कैनिंग-लॉरेंस स्कूल, मिल स्कूल और मेयो-नॉर्थब्रुक स्कूल किस प्रशासनिक विवाद से संबंधित हैं-",समाज-सुधारों से संबंधित अधिनियम।,"स्थायी बन्दोबस्त का क्रियान्वयन, जारी रहना और विस्तार।",नए क्षेत्रों में महालवाड़ी बन्दोबस्त की शुरुआत।,1857 के विद्रोह के बाद भारत के प्रति उदार दृष्टिकोण अपनाया जाना।,"स्थायी बन्दोबस्त का क्रियान्वयन, जारी रहना और विस्तार।"
History,PYQ mix,"अंग्रेज अपनी ही खरीदी भूमि पर और अपने ही खर्चे पर किसानों को मजदूरी देकर कृषि करते थे, उसे कहते थे-",रैयत कृषि,महाल कृषि,निज्बत कृषि,स्थाई कृषि,निज्बत कृषि
History,PYQ mix,निम्नलिखित में से किस भारतीय फैक्ट्री अधिनियम के अंतर्गत सभी श्रमिकों को साप्ताहिक अवकाश प्रदान किया गया था-,"प्रथम भारतीय फैक्ट्री अधिनियम, 1881","द्वितीय भारतीय फैक्ट्री अधिनियम, 1891","तृतीय भारतीय फैक्ट्री अधिनियम, 1901","चतुर्थ भारतीय फैक्ट्री अधिनियम, 1911","द्वितीय भारतीय फैक्ट्री अधिनियम, 1891"
History,PYQ mix,दादा भाई नौरोजी ने 1895 में किस आयोग के समक्ष भारत से 'धन के निष्कासन' (ड्रेन ऑफ वैल्थ) के मामले को प्रस्तुत किया था-,वेल्बी आयोग,मैकडोनाल्ड आयोग,स्ट्राची आयोग,प्रेषण आयोग (रेमिटेंस आयोग),वेल्बी आयोग
History,PYQ mix,किस व्यक्ति ने भू लगान को स्थायी रूप से निश्चित करने का पक्ष नहीं लिया था-,एलेक्जेंडर डो,हेनरी पतुलो,फिलिप फ्रांसिस,वारेन हेस्टिंग्स,वारेन हेस्टिंग्स
History,PYQ mix,"1871 में किसने कहा था ""मेरे विचार से इंग्लैंड के भारत से चले जाने और उसके स्वयं के हाल पर छोड देने से बड़ा संकट भारत के लिए कुछ और नहीं होगा।""-",बाल गंगाधर तिलक,एम.जी. रानाडे,दादा भाई नारौजी,विपिन चंद्र पाल,दादा भाई नारौजी
History,PYQ mix,स्थायी बन्दोबस्त के बारे में क्या सही नहीं है-,जमींदारों को मालिकाना अधिकार प्रदान किया गया।,सदा के लिए भूमि राजस्व निर्धारित कर दिया गया।,रैय्यत को मालिकाना अधिकार प्रदान किया गया।,दो गुनी दर पर राजस्व का निर्धारण किया गया।,रैय्यत को मालिकाना अधिकार प्रदान किया गया।
History,PYQ mix,रजत रे तथा रत्नलेखा रे ने ग्रामीण समाज पर स्थायी बन्दोबस्त (1793) के प्रभाव की व्याख्या हेतु निम्नलिखित में से किस अवधारणा/परिकल्पना को प्रतिपादित किया-,संस्कृतिकरण,जजमानी प्रणाली,एशियाई उत्पादन प्रणाली,जोतदार परिकल्पना,जोतदार परिकल्पना
History,PYQ mix,आंरभिक औपनिवेशिक शासन के दौरान शोरा के निर्माण का सर्वाधिक महत्वपूर्ण केन्द्र निम्नलिखित में से कौन सा था-,मैसूर,उत्तरी सिरचर,बिहार,बंगाल,बिहार
History,PYQ mix,निम्नलिखित में से किसको उत्तरी भारत में भूमि बंदोबस्त के जनक के रूप में जाना जाता है-,लॉर्ड कार्नवालिस,थॉमस मुनरो,हॉल्ट मैकेन्जी,मर्टिन्स बर्ड,मर्टिन्स बर्ड
History,PYQ mix,बंगाल के स्थायी बन्दोबस्त का विचार आगे बढ़ाने में निम्नलिखित में से कौन एक शामिल नहीं था-,एलेक्जेंडर डो,थॉमस लॉ,मोंटगोमरी मार्टिन,फिलिप फ्रांसिस,मोंटगोमरी मार्टिन
History,PYQ mix,निम्नलिखित में से किसके द्वारा भारत के रिसरा में 1855 में प्रथम जूट कताई मिल की स्थापना की गई थी-,रॉबर्ट ब्रूस,जॉर्ज हेन्डरसन,एन्ड्रयू युले,जॉर्ज ऑकलैंड,जॉर्ज ऑकलैंड
History,PYQ mix,निम्नलिखित कथनों में से कौन एक कथन स्थायी बन्दोबस्त की विशेषताओं में से नहीं है-,"इस व्यवस्था को बंगाल, बिहार और उड़ीसा में लागू किया गया था।","इसमें तीन पक्ष थे सरकार, जमींदार और रैयत।",इस व्यवस्था द्वारा भू-राजस्व स्थायी तौर पर सुनिश्चित कर दिया गया।,भू-राजस्व के रूप में एकत्रित की जाने वाली कुल राशि चार करोड़ रुपये निर्धारित की गई थी।,भू-राजस्व के रूप में एकत्रित की जाने वाली कुल राशि चार करोड़ रुपये निर्धारित की गई थी।
History,PYQ mix,निम्नांकित में से किस व्यवस्था का विरोध सर जॉन शोर द्वारा किया गया था-,स्थायी बन्दोबस्त,मूतादारी व्यवस्था,रैयतवाड़ी व्यवस्था,महालवाड़ी व्यवस्था,स्थायी बन्दोबस्त
History,PYQ mix,निम्नलिखित में से किसे 'स्थायी बन्दोबस्त का जनक' माना जाता है-,जॉन शोर,कोर्नवालिस,वारेन हेस्टिंग्स,फिलिप्स फ्रांसिस,फिलिप्स फ्रांसिस
History,PYQ mix,स्वतंत्र भारत का पहला भारतीय प्रोद्यौगिकी संस्थान. कहाँ स्थापित किया गया-,दिल्ली,रुड़की,खड़गपुर,बम्बई,खड़गपुर
History,PYQ mix,निम्नलिखित में से किसने कहा कि स्थायी बंदोबस्त एक दुखदायी व भयंकर भूल थी-,ईश्वरी प्रसाद,आर. सी. मजूमदार,सेटोन कार,टी. आर. होम्स,टी. आर. होम्स
History,PYQ mix,ईस्ट इण्डिया कम्पनी द्वारा बम्बई दक्खन में प्रथम राजस्व बन्दोबस्त किस वर्ष में प्रारम्भ किया-,1793,1765,1818,1875,1818
History,PYQ mix,"वर्ष 1831, में भारत में रेलवे के निर्माण का आरंभिक सुझाव किस स्थान पर दिया गया-",कलकत्ता,मद्रास,बांबे,दिल्ली,मद्रास
History,PYQ mix,बंगाल में भूमिकर की स्थायी व्यवस्था के लिए अंग्रेजी कंपनी ने समझौता किसके साथ किया—,किसानों के साथ,जमींदारों के साथ,ग्राम समुदायों के साथ,ग्राम मुखिया के साथ,जमींदारों के साथ
History,PYQ mix,1793 में लॉर्ड कार्नवालिस की भू व्यवस्था प्रणाली लागू होने के बाद कानूनी विवादों की प्रवृत्ति में बढ़ोतरी देखी गई थी। निम्नांकित प्रावधानों में से किस एक को सामान्यतया इसके कारक के रूप में जोड़ कर देखा जाता है-,रैयत की तुलना में जमींदार की स्थिति को अधिक सशक्त बनाना।,ईस्ट इंडिया कंपनी को जमींदारी का अधिपति बनाना।,न्यायिक पद्धति को अधिक कार्यकुशल बनाना।,उपरोक्त कथनों में से कोई भी सही नहीं है।,रैयत की तुलना में जमींदार की स्थिति को अधिक सशक्त बनाना।
History,PYQ mix,निम्नलिखित बन्दोबस्तों में से किसमें जमींदार भूराजस्व संग्रह कराने में मध्यस्थ व्यक्ति के रूप में था-,महालवाड़ी बन्दोबस्त,रैयतवाड़ी बन्दोबस्त,स्थायी बन्दोबस्त,इनमें से कोई नहीं,स्थायी बन्दोबस्त
History,PYQ mix,19 वीं शताब्दी में अपनायी गई संरक्षणात्मक नीति के बारे में निम्न में से कौन-सा कथन सत्य है-,पूंजीपतियों को उनके कारखानों पर पुलिस सुरक्षा प्रदान की गयी।,हर देश ने अपने यहां आयात शुल्क में कमी कर दी।,तमाम देशों ने अपने आयातित सामान पर भारी आयात शुल्क का बोझ डाला।,मजदूरों को वेतन सम्बन्धी असमानताओं के प्रति सुरक्षा प्रदान की गयी।,तमाम देशों ने अपने आयातित सामान पर भारी आयात शुल्क का बोझ डाला।
History,PYQ mix,रैयतवाड़ी भूमि बन्दोबस्त का प्रवर्तक कौन था-,थॉमस मुनरो,सर जॉन मैलकम,अलेक्जेण्डर रीड,थॉमस मुनरो,थॉमस मुनरो
History,PYQ mix,,,,,,

History,PYQ mix,,,,,,
